Commit Message,Author,PR Link,Team,Release Label,Commit Hash
feat: Gas Fees Redesign PoC (#24714),Pedro Figueiredo,https://github.com/MetaMask/metamask-extension/pull/24714,Other/Unknown,release-12.2.0,e2bfc1d89e
fix: show connected toast only for EVM accounts (#25628),Monte Lai,https://github.com/MetaMask/metamask-extension/pull/25628,Other/Unknown,release-12.2.0,44939a200a
fix: changed logic to use the new banner alert (#25626),Albert Olivé,https://github.com/MetaMask/metamask-extension/pull/25626,Other/Unknown,release-12.2.0,513cb2c02a
feat: improvement for how we display big and small numbers (#25438),Jyoti Puri,https://github.com/MetaMask/metamask-extension/pull/25438,Other/Unknown,release-12.2.0,8adc3cc7bd
fix: UX: Multichain: Fix dead network problem when switching tabs (#25425),David Walsh,https://github.com/MetaMask/metamask-extension/pull/25425,Other/Unknown,release-12.0.0,363a8f4b56
test: add swap e2e tests on Tenderly network (#25060),Davide Brocchetto,https://github.com/MetaMask/metamask-extension/pull/25060,Other/Unknown,release-12.2.0,b372e83c6e
fix: UX: Multichain: Add safeguard to throw error when confirmation chainId doesn't match current chainId (#25634),David Walsh,https://github.com/MetaMask/metamask-extension/pull/25634,Other/Unknown,release-12.0.0,92ca1975d0
chore: updates MMI custody controller (#25631),António Regadas,https://github.com/MetaMask/metamask-extension/pull/25631,Other/Unknown,release-12.2.0,56c9dc2fda
fix: Skip blockaid validation for SIWE signature types (#25612),Jyoti Puri,https://github.com/MetaMask/metamask-extension/pull/25612,Other/Unknown,release-12.2.0,6849c72dba
feat: Add support for security alerts on zkSync Berachain Scroll and Metachain One on extension (#25555),Jyoti Puri,https://github.com/MetaMask/metamask-extension/pull/25555,Other/Unknown,release-12.2.0,4d93e69d63
fix: Multichain: UX: Check for transactions on all networks and QueuedRequestCount (#25614),David Walsh,https://github.com/MetaMask/metamask-extension/pull/25614,Other/Unknown,release-12.0.0,ce3c57c203
feat: define which keyring methods Portfolio can call (#25633),Daniel Rocha,https://github.com/MetaMask/metamask-extension/pull/25633,Other/Unknown,release-12.2.0,da932ae8c7
chore: flaky E2E tests improved (#25565),António Regadas,https://github.com/MetaMask/metamask-extension/pull/25565,Other/Unknown,release-12.2.0,7b69e3cb4e
feat: add SIWE mismatch account warning alert  (#25613),Ariella Vu,https://github.com/MetaMask/metamask-extension/pull/25613,Other/Unknown,release-12.2.0,d0c11e4a44
fix: support multichain in blockexplorer and qr code (#25526),Monte Lai,https://github.com/MetaMask/metamask-extension/pull/25526,Other/Unknown,release-12.2.0,dfad34b22a
feat: update Permit Signature Redesign "Spending cap" copy (#25618),Ariella Vu,https://github.com/MetaMask/metamask-extension/pull/25618,Other/Unknown,release-12.1.0,c9fcc1439a
